"Week" "Player" "range" "FGM" "FGA" "XPM" "XPA" "proj" "rnk" "XP_miss" "FG_miss" "Full_Proj" "max" "min" "std" "Var"
"4" "Harrison Butker" "4.46-13.44" 1.64 1.91 2.6 2.65 8.95 "#10" 0.0499999999999998 0.27 8.09 13.44 4.46 4.49 20.1601
"10" "Josh Lambo" "2.41-15.29" 2.04 2.29 2.23 2.25 8.85 "#26" 0.02 0.25 8.08 15.29 2.41 6.44 41.4736
"10" "Mason Crosby" "5.33-14.05" 1.79 2.33 3.75 3.75 9.69 "#28" 0 0.54 8.07 14.05 5.33 4.36 19.0096
"3" "Robbie Gould" "3.50-14.04" 1.75 1.98 2.62 2.67 8.77 "#27" 0.0499999999999998 0.23 8.03 14.04 3.5 5.27 27.7729
"14" "Brett Maher" "4.54-13.20" 1.87 2.14 2.48 2.51 8.87 "#18" 0.0299999999999998 0.27 8.03 13.2 4.54 4.33 18.7489
"1" "Jake Elliott" "5.07-12.49" 1.91 2.13 2.33 2.42 8.78 "#32" 0.0899999999999999 0.22 8.03 12.49 5.07 3.71 13.7641
"13" "Graham Gano" "4.95-12.13" 1.46 1.61 3.52 3.58 8.54 "#29" 0.0600000000000001 0.15 8.03 12.13 4.95 3.59 12.8881
"8" "Wil Lutz" "4.77-13.63" 1.93 2.29 2.53 2.63 9.2 "#4" 0.1 0.36 8.02 13.63 4.77 4.43 19.6249
"1" "Chris Boswell" "4.84-12.52" 1.78 1.98 2.57 2.66 8.68 "#1" 0.0900000000000003 0.2 7.99 12.52 4.84 3.84 14.7456
"13" "Ryan Succop" "5.37-12.83" 1.89 2.26 2.53 2.53 9.1 "#16" 0 0.37 7.99 12.83 5.37 3.73 13.9129
"6" "Cody Parkey" "3.54-14.54" 1.98 2.32 2.37 2.41 9.04 "#28" 0.04 0.34 7.98 14.54 3.54 5.5 30.25
"15" "Sebastian Janikowski" "4.76-12.88" 1.69 1.98 2.95 2.95 8.82 "#23" 0 0.29 7.95 12.88 4.76 4.06 16.4836
"7" "Justin Tucker" "5.22-12.60" 1.95 2.26 2.38 2.42 8.91 "#19" 0.04 0.31 7.94 12.6 5.22 3.69 13.6161
"13" "Wil Lutz" "4.47-12.99" 1.71 1.96 2.89 2.94 8.73 "#12" 0.0499999999999998 0.25 7.93 12.99 4.47 4.26 18.1476
"8" "Brandon McManus" "5.09-12.15" 1.68 1.91 2.82 2.84 8.62 "#27" 0.02 0.23 7.91 12.15 5.09 3.53 12.4609
"12" "Stephen Hauschka" "3.18-14.10" 1.98 2.22 1.83 1.85 8.64 "#9" 0.02 0.24 7.9 14.1 3.18 5.46 29.8116
"14" "Harrison Butker" "4.58-13.50" 1.85 2.22 2.34 2.37 9.04 "#2" 0.0300000000000002 0.37 7.9 13.5 4.58 4.46 19.8916
"6" "Ka'imi Fairbairn" "4.32-13.74" 1.87 2.24 2.78 2.8 9.03 "#3" 0.02 0.37 7.9 13.74 4.32 4.71 22.1841
"3" "Cody Parkey" "4.11-13.99" 2.05 2.44 1.58 1.58 9.05 "#6" 0 0.39 7.88 13.99 4.11 4.94 24.4036
"6" "Graham Gano" "3.90-13.82" 1.79 2.11 2.84 2.86 8.86 "#7" 0.02 0.32 7.88 13.82 3.9 4.96 24.6016
"8" "Sebastian Janikowski" "4.87-12.77" 1.8 2.08 2.58 2.68 8.82 "#31" 0.1 0.28 7.88 12.77 4.87 3.95 15.6025
"7" "Brett Maher" "3.56-13.92" 1.76 2.03 2.74 2.8 8.74 "#7" 0.0599999999999996 0.27 7.87 13.92 3.56 5.18 26.8324
"1" "Robbie Gould" "3.62-13.50" 1.84 2.06 1.96 2 8.56 "#4" 0.04 0.22 7.86 13.5 3.62 4.94 24.4036
"5" "Chris Boswell" "5.04-13.88" 1.93 2.42 3.28 3.42 9.46 "#32" 0.14 0.49 7.85 13.88 5.04 4.42 19.5364
"10" "Chandler Catanzaro" "4.25-13.67" 1.71 2.05 3.42 3.52 8.96 "#7" 0.1 0.34 7.84 13.67 4.25 4.71 22.1841
"14" "Matt Bryant" "4.70-12.22" 1.69 1.89 2.55 2.57 8.46 "#22" 0.02 0.2 7.84 12.22 4.7 3.76 14.1376
"11" "Aldrick Rosas" "3.70-13.96" 1.94 2.27 2.7 2.7 8.83 "#29" 0 0.33 7.84 13.96 3.7 5.13 26.3169
"16" "Josh Lambo" "4.41-12.51" 1.72 1.93 2.59 2.59 8.46 "#28" 0 0.21 7.83 12.51 4.41 4.05 16.4025
"7" "Brandon McManus" "3.05-15.77" 1.96 2.46 2.67 2.75 9.41 "#6" 0.0800000000000001 0.5 7.83 15.77 3.05 6.36 40.4496
"1" "Matt Bryant" "5.05-11.89" 1.74 1.96 2.34 2.34 8.47 "#18" 0 0.22 7.81 11.89 5.05 3.42 11.6964
"12" "Sebastian Janikowski" "4.72-12.38" 1.65 1.89 2.78 2.8 8.55 "#25" 0.02 0.24 7.81 12.38 4.72 3.83 14.6689
"12" "Josh Lambo" "3.20-14.64" 1.98 2.35 1.97 1.97 8.92 "#3" 0 0.37 7.81 14.64 3.2 5.72 32.7184
"15" "Jason Myers" "3.34-13.14" 1.95 2.09 1.36 1.38 8.24 "#11" 0.0199999999999998 0.14 7.8 13.14 3.34 4.9 24.01
"2" "Josh Lambo" "4.40-12.88" 1.79 2.06 2.46 2.5 8.64 "#14" 0.04 0.27 7.79 12.88 4.4 4.24 17.9776
"16" "Mason Crosby" "4.58-12.70" 1.86 2.14 2.35 2.37 8.64 "#16" 0.02 0.28 7.78 12.7 4.58 4.06 16.4836
"9" "Dustin Hopkins" "5.05-12.35" 1.78 2.08 2.64 2.66 8.7 "#32" 0.02 0.3 7.78 12.35 5.05 3.65 13.3225
"11" "Mike Badgley" "3.96-13.12" 1.64 1.87 2.95 3.02 8.54 "#10" 0.0699999999999998 0.23 7.78 13.12 3.96 4.58 20.9764
"8" "Cody Parkey" "4.39-12.71" 1.78 2.03 2.38 2.42 8.55 "#16" 0.04 0.25 7.76 12.71 4.39 4.16 17.3056
"15" "Mike Badgley" "4.68-11.92" 1.41 1.59 3.37 3.37 8.3 "#27" 0 0.18 7.76 11.92 4.68 3.62 13.1044
"3" "Chris Boswell" "5.22-12.26" 1.77 2.07 2.59 2.68 8.74 "#29" 0.0900000000000003 0.3 7.75 12.26 5.22 3.52 12.3904
"4" "Chris Boswell" "5.29-13.17" 2.02 2.49 2.53 2.6 9.23 "#2" 0.0700000000000003 0.47 7.75 13.17 5.29 3.94 15.5236
"6" "Harrison Butker" "4.47-12.49" 1.77 1.99 2.7 2.77 8.48 "#14" 0.0699999999999998 0.22 7.75 12.49 4.47 4.01 16.0801
"13" "Brandon McManus" "4.71-12.21" 1.73 1.97 2.65 2.65 8.46 "#20" 0 0.24 7.74 12.21 4.71 3.75 14.0625
"17" "Brandon McManus" "4.42-13.24" 1.89 2.24 2.49 2.53 8.83 "#15" 0.0399999999999996 0.35 7.74 13.24 4.42 4.41 19.4481
"11" "Brett Maher" "4.12-12.40" 1.69 1.85 2.7 2.74 8.26 "#32" 0.04 0.16 7.74 12.4 4.12 4.14 17.1396
