"Week" "Player" "range" "pts_all" "sacks" "INT" "fum" "SAF" "TD" "rnk" "max" "min" "std" "Var" "pts_all_grp" "pts_all_score" "yrds_est" "yrds_all_grp" "yrds_all_score" "Full_Proj"
"5" "Packers D/ST" "1.90-14.36" 22.36 2.69 0.87 0.72 0 0.3 "#30" 14.36 1.9 6.23 38.8129 5 0 346.272 4 0 7.67
"17" "Packers D/ST" "1.90-14.36" 22.36 2.69 0.87 0.72 0 0.3 "#30" 14.36 1.9 6.23 38.8129 5 0 346.272 4 0 7.67
"2" "Bengals D/ST" "2.91-14.19" 19.99 2.4 1.14 0.66 0.02 0.26 "#14" 14.19 2.91 5.64 31.8096 5 0 333.948 4 0 7.6
"5" "Jets D/ST" "3.57-14.93" 17.68 2.88 1 0.94 0.06 0.12 "#12" 14.93 3.57 5.68 32.2624 5 0 321.936 4 0 7.6
"11" "Raiders D/ST" "3.51-14.07" 19.21 2.52 0.98 0.78 0 0.26 "#31" 14.07 3.51 5.28 27.8784 5 0 329.892 4 0 7.6
"11" "Ravens D/ST" "3.33-15.01" 18.5 2.56 1.28 0.76 0.04 0.14 "#5" 15.01 3.33 5.84 34.1056 5 0 326.2 4 0 7.56
"11" "Titans D/ST" "2.45-14.31" 21.59 2.68 1 0.7 0.02 0.24 "#17" 14.31 2.45 5.93 35.1649 5 0 342.268 4 0 7.56
"17" "Titans D/ST" "2.45-14.31" 21.59 2.68 1 0.7 0.02 0.24 "#17" 14.31 2.45 5.93 35.1649 5 0 342.268 4 0 7.56
"1" "Titans D/ST" "3.59-14.83" 17.91 2.76 0.86 0.78 0.04 0.24 "#24" 14.83 3.59 5.62 31.5844 5 0 323.132 4 0 7.56
"1" "Patriots D/ST" "2.39-13.99" 21.84 2.42 1.12 0.7 0.02 0.24 "#21" 13.99 2.39 5.8 33.64 5 0 343.568 4 0 7.54
"3" "Chiefs D/ST" "1.66-13.94" 22.72 2.41 1.07 0.66 0.04 0.26 "#25" 13.94 1.66 6.14 37.6996 5 0 348.144 4 0 7.51
"8" "Rams D/ST" "3.41-13.89" 19.69 2.55 1.2 0.6 0.02 0.22 "#18" 13.89 3.41 5.24 27.4576 5 0 332.388 4 0 7.51
"5" "Lions D/ST" "2.67-14.83" 23.27 2.08 1.34 0.58 0.06 0.4 "#18" 14.83 2.67 6.08 36.9664 5 0 351.004 5 -1 7.44
"17" "Lions D/ST" "2.67-14.83" 23.27 2.08 1.34 0.58 0.06 0.4 "#18" 14.83 2.67 6.08 36.9664 5 0 351.004 5 -1 7.44
"11" "Redskins D/ST" "2.08-13.68" 21.75 2.2 1.22 0.64 0.04 0.24 "#21" 13.68 2.08 5.8 33.64 5 0 343.1 4 0 7.44
"12" "Patriots D/ST" "1.23-15.91" 23.52 2.66 1.04 0.76 0.04 0.34 "#22" 15.91 1.23 7.34 53.8756 5 0 352.304 5 -1 7.38
"17" "Patriots D/ST" "1.23-15.91" 23.52 2.66 1.04 0.76 0.04 0.34 "#22" 15.91 1.23 7.34 53.8756 5 0 352.304 5 -1 7.38
"9" "Panthers D/ST" "2.91-14.29" 20.83 2.54 1.02 0.76 0.04 0.2 "#2" 14.29 2.91 5.69 32.3761 5 0 338.316 4 0 7.38
"13" "Panthers D/ST" "2.91-14.29" 20.83 2.54 1.02 0.76 0.04 0.2 "#2" 14.29 2.91 5.69 32.3761 5 0 338.316 4 0 7.38
"13" "Dolphins D/ST" "1.24-16.66" 17.92 2.54 1.06 0.7 0.04 0.2 "#32" 16.66 1.24 7.71 59.4441 5 0 323.184 4 0 7.34
"17" "Dolphins D/ST" "1.24-16.66" 17.92 2.54 1.06 0.7 0.04 0.2 "#32" 16.66 1.24 7.71 59.4441 5 0 323.184 4 0 7.34
"11" "Bengals D/ST" "2.48-13.12" 22.07 2.14 0.94 0.7 0 0.32 "#14" 13.12 2.48 5.32 28.3024 5 0 344.764 4 0 7.34
"7" "Chargers D/ST" "1.23-15.17" 20.59 2.34 1.06 0.74 0.04 0.22 "#28" 15.17 1.23 6.97 48.5809 5 0 337.068 4 0 7.34
"16" "Redskins D/ST" "1.02-14.88" 21.78 2.14 1.28 0.42 0.06 0.28 "#28" 14.88 1.02 6.93 48.0249 5 0 343.256 4 0 7.34
