"Player" "Week" "OwnerWeek" "Pos" "Final" "Slot" "proj" "std" "Var" "OwnerWeekPos"
"Doug Baldwin" "1" "chad-1" "WR-2" "0" "" "0" 0 0 "chad-1WR-2"
"Doug Baldwin" "5" "chad-5" "WR-2" "0.1" "" "0.1" 0 0 "chad-5WR-2"
"Doug Baldwin" "6" "lucas-6" "WR-3" "9.1" "" "9.1" 0 0 "lucas-6WR-3"
"Drew Brees" "1" "scott-1" "QB-1" "31.6" "" "31.6" 0 0 "scott-1QB-1"
"Drew Brees" "2" "scott-2" "QB-1" "17.6" "" "17.6" 0 0 "scott-2QB-1"
"Drew Brees" "4" "scott-4" "QB-1" "8.6" "" "8.6" 0 0 "scott-4QB-1"
"Drew Brees" "5" "scott-5" "QB-1" "26.7" "" "26.7" 0 0 "scott-5QB-1"
"Drew Brees" "7" "scott-7" "QB-1" "16.8" "" "16.8" 0 0 "scott-7QB-1"
"Drew Brees" "8" "scott-8" "QB-1" "--" "" "23.54" 8.35 69.7225 "scott-8QB-1"
"Emmanuel Sanders" "2" "comp-2" "WR-3" "9.6" "" "9.6" 0 0 "comp-2WR-3"
"Emmanuel Sanders" "3" "comp-3" "WR-3" "13.3" "" "13.3" 0 0 "comp-3WR-3"
"Emmanuel Sanders" "4" "comp-4" "WR-3" "6.3" "" "6.3" 0 0 "comp-4WR-3"
"Emmanuel Sanders" "5" "comp-5" "WR-2" "7.2" "" "7.2" 0 0 "comp-5WR-2"
"Emmanuel Sanders" "6" "comp-6" "WR/RB" "17.5" "" "17.5" 0 0 "comp-6WR/RB"
"Emmanuel Sanders" "7" "comp-7" "WR-2" "21.3" "" "21.3" 0 0 "comp-7WR-2"
"Emmanuel Sanders" "8" "comp-8" "WR-2" "--" "" "9.98" 7.5 56.25 "comp-8WR-2"
"Eric Ebron" "4" "devon-4" "TE-1" "10" "" "10" 0 0 "devon-4TE-1"
"Eric Ebron" "5" "devon-5" "TE-1" "22.5" "" "22.5" 0 0 "devon-5TE-1"
"Eric Ebron" "6" "devon-6" "TE-1" "13" "" "13" 0 0 "devon-6TE-1"
"Eric Ebron" "7" "devon-7" "TE-1" "3.1" "" "3.1" 0 0 "devon-7TE-1"
"Eric Ebron" "8" "devon-8" "TE-1" "--" "" "8.54" 5.51 30.3601 "devon-8TE-1"
"Evan Engram" "3" "devon-3" "TE-1" "1.9" "" "1.9" 0 0 "devon-3TE-1"
"Ezekiel Elliott" "1" "devon-1" "RB-1" "14.6" "" "14.6" 0 0 "devon-1RB-1"
"Ezekiel Elliott" "2" "devon-2" "RB-1" "14.7" "" "14.7" 0 0 "devon-2RB-1"
"Ezekiel Elliott" "3" "perry-3" "RB-2" "11.8" "" "11.8" 0 0 "perry-3RB-2"
"Ezekiel Elliott" "4" "perry-4" "RB-2" "30" "" "30" 0 0 "perry-4RB-2"
"Ezekiel Elliott" "5" "perry-5" "RB-2" "8.4" "" "8.4" 0 0 "perry-5RB-2"
"Ezekiel Elliott" "6" "perry-6" "RB-2" "17.7" "" "17.7" 0 0 "perry-6RB-2"
"Ezekiel Elliott" "7" "perry-7" "RB-2" "4.2" "" "4.2" 0 0 "perry-7RB-2"
