"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"Davante Adams" "WR" 9.99 9.71 11.35 10.71 10.01 13.43 NA 10.05 11.89 12.73 9.87 10.6 12.31 10.61 10.16 12.03 10.39
"David Fales" "QB" 0 0 0 1.06 0.91 0.83 1.1 1.12 0.93 1.12 NA 1.12 1.01 1.13 0.7 0.66 0.95
"David Fluellen" "RB" 0.97 0.91 0 0.64 0.92 0.84 1.03 NA 1.03 1.11 1.02 0.97 0.95 0.99 1.02 1 1.12
"David Johnson" "RB" 18.44 14.9 11.35 10.86 11.63 10.01 10.37 12.44 NA 13.38 13.78 10.48 11.83 12.13 12.2 10.3 10.32
"David Moore" "WR" NA 0.63 1.67 0.52 0.56 0.52 NA 0.44 0.55 0.55 0.52 0.5 0.49 0.6 0.47 0.44 0.52
"David Morgan" "TE" 1.36 1.27 0 2.24 2.19 2.38 2.23 2.5 2.56 NA 2.23 2.78 2.79 2.23 2.69 2.43 2.37
"David Njoku" "TE" 4.12 5.14 4.43 4.78 3.65 4.18 4.52 4.28 4.53 4.62 NA 4.56 4.55 3.93 3.03 4.68 3.53
"De'Anthony Thomas" "WR" 0.38 0.37 0.75 0.68 0.84 0.7 0.76 0.68 0.71 0.91 0.72 NA 0.74 0.87 0.73 0.8 0.74
"DeAndre Hopkins" "WR" 14.98 12.4 13.01 14.72 14.49 13.64 11.57 12.75 10.89 NA 12.05 12.71 12.52 15.32 11.72 11.42 12
"DeAndre Washington" "RB" 0 0 0 1.15 1 0.9 NA 0.93 0.94 1.08 0.98 1.01 1.02 0.94 0.88 1.14 0.96
"Dede Westbrook" "WR" 4.79 4.34 4.82 4.7 6.44 6.4 5.87 4.98 NA 5.38 6.78 6.32 5.51 4.69 6.31 4.43 5.67
"Demarcus Robinson" "WR" 0.47 0.39 0.38 0.43 0.5 0.42 0.36 0.44 0.41 0.45 0.44 NA 0.4 0.53 0.42 0.43 0.4
"Demaryius Thomas" "WR" 8.73 9.74 8.51 9.8 8.22 7.83 8.08 9.5 9.35 NA 8.61 9.19 9.19 9.13 9.93 8.78 8.86
"Demetrius Harris" "TE" 0 1.86 2.97 2.22 2.57 2.48 3.11 2.29 2.72 2.43 2.46 NA 2.85 2.58 3.25 2.91 3.01
"Deonte Thompson" "WR" 1.87 2.28 3.68 3.87 3.88 3.04 3.34 NA 4.09 3.41 3.31 3.49 3.26 3.51 4.06 4.24 3.7
"Derek Carr" "QB" 14.26 11.98 13.33 16.57 12.23 12.65 NA 19.4 17.8 12.93 12.79 12.62 16.69 13.86 13.94 14.83 15.83
"Derek Carrier" "TE" 1.01 1.18 1.37 1.51 1.27 1.21 NA 1.2 1.45 1.31 1.4 0.96 1.25 1.31 1.33 1.16 1.2
"Derek Watt" "RB" 0.75 0.72 0.74 0.79 0.79 0.71 0.73 NA 0.72 0.74 0.54 0.72 0.67 0.78 0.72 0.6 0.52
"Derrick Coleman" "RB" NA 0.28 0.18 0.14 0.17 0.2 0.23 0.17 NA 0.16 0.19 0.15 0.17 0.17 0.16 0.16 0.14
"Derrick Henry" "RB" 9.4 9.16 8.99 9.53 9.23 9.64 9.1 NA 9.44 9.26 10.13 9.88 10.65 9.91 9.65 10.59 11.11
"DeSean Jackson" "WR" 5.87 6.54 6.97 6.66 NA 6.28 6.78 6.47 6.71 6.49 5.52 7.47 6.89 6.12 5.86 6.12 6.47
"Deshaun Watson" "QB" 19.16 18.95 19.66 20.79 19.27 18.88 13.59 20.52 16.65 NA 15.43 21.66 22.34 22.31 17.11 16.36 14.47
"DeShone Kizer" "QB" 0.98 1.39 0.77 0.94 0.99 0.95 NA 0.74 0.92 0.92 0.73 0.71 0.92 0.98 0.72 0.87 1.06
"Detrez Newsome" "RB" NA NA 0.49 0.63 0.67 0.61 0.61 NA 0.54 0.63 0.6 0.52 0.53 0.62 0.57 0.54 0.56
"DeVante Parker" "WR" 0 0 5.34 5.54 4.69 5.11 4.82 6.11 4.47 5.79 NA 5.16 5.43 5.65 4.49 4.78 5.32
"Devin Funchess" "WR" 7.9 7.73 8.26 NA 9.16 8.54 9.03 8.42 11.06 9.17 8.54 8.85 10.65 9.38 8.12 9.05 7.82
"Devonta Freeman" "RB" 10.38 0 0 5.65 5.31 11.32 9.93 NA 11 9.3 10.9 9.77 10.23 9.84 10.71 9.27 10.41
